CODIGO_EMPRESA,DESCRICAO
2,BETTANIA ONIBUS LTDA
6,COLETIVOS SAO LUCAS LTDA
18,RODOPASS TRANSP. COL. DE PASSG. LTDA
24,AUTO OMNIBUS FLORAMAR LTDA
34,URCA AUTO ONIBUS LTDA
37,VIACAO ANCHIETA LTDA
43,VIACAO CARNEIRINHOS LTDA
50,VIACAO GETULIO VARGAS LTDA
51,VIACAO GLOBO LTDA
60,AUTO OMNIBUS NOVA SUISSA LTDA
61,VIACAO PARAENSE LTDA
65,VIACAO PROGRESSO LTDA
68,VIACAO SANDRA LTDA
73,VIACAO SAO GERALDO LTDA
78,VIACAO TORRES LTDA
79,VIACAO EUCLASIO LTDA
82,VIACAO ZURICK LTDA
98,COLETUR - COLETIVOS URBANOS LTDA
99,TRANSCBEL - TRANSPORTE CO. BELO HOR. LT
107,MILENIO TRANSPORTES LTDA
108,SAO DIMAS TRANSPORTES LTDA
109,VIACAO JARDINS LTDA
113,VIA BH COLETIVOS LTDA
114,SAO CRISTOVAO TRANSPORTES LTDA
116,CIDADE BH TRANSPORTES LTDA
118,S&M TRANSPORTES S/A
121,PLENA TRANSPORTES E TURISMO LTDA
122,RODAP OPERADORA DE TRANSPORTES LTDA
123,COLETIVOS BOA VISTA LTDA
124,AUTOBUS TRANSPORTES URBANOS LTDA
125,VIACAO SIDON LTDA
126,BELO HORIZONTE TRANSPORTE URBANO LTDA
127,SALVADORA EMPRESA DE TRANSPORTES LTDA
128,VIACAO FENIX LTDA
130,TRANS OESTE TRANSPORTES URBANOS LTDA
